iter	Logloss
0	0.6535346927
1	0.6197037791
2	0.5908416051
3	0.5658095888
4	0.5442665173
5	0.5254781004
6	0.5089035426
7	0.4945942379
8	0.4821775136
9	0.4711600255
10	0.4613705939
11	0.452692708
12	0.4450993763
13	0.438448436
14	0.4326165997
15	0.427483211
16	0.4229419217
17	0.4189961193
18	0.4158227154
19	0.4128143201
20	0.4099625248
21	0.4075277598
22	0.4031650906
23	0.3991883708
24	0.3956652768
25	0.3926681535
26	0.38987253
27	0.386854151
28	0.3842816994
29	0.3816813299
30	0.3797369808
31	0.3783295612
32	0.3767353585
33	0.3753354358
34	0.3741405311
35	0.3732583386
36	0.3721567946
37	0.3709029002
38	0.3699818403
39	0.3689730146
40	0.3678252744
41	0.3668302409
42	0.3658119716
43	0.3649664887
44	0.36447101
45	0.3636157699
46	0.3628262663
47	0.3621400103
48	0.3616512948
49	0.3601714971
50	0.3591835838
51	0.3587814002
52	0.3575194984
53	0.3570312197
54	0.3565423594
55	0.3562538009
56	0.3551325815
57	0.3545314352
58	0.3541566044
59	0.3535499149
60	0.3531138573
61	0.3528754456
62	0.3524669515
63	0.3522033968
64	0.351660905
65	0.3512349936
66	0.3506943411
67	0.3498783966
68	0.3492861477
69	0.3488959742
70	0.3487134738
71	0.3484318613
72	0.3483353495
73	0.3479403993
74	0.3475670967
75	0.3472535265
76	0.3469312607
77	0.3467003178
78	0.3466509742
79	0.3460176405
80	0.3458651747
81	0.3457338794
82	0.3454940894
83	0.3453957452
84	0.3447642765
85	0.3445712843
86	0.3444467071
87	0.3439526059
88	0.3433898076
89	0.343055061
90	0.3429478323
91	0.341792299
92	0.3414474495
93	0.3408523145
94	0.3404576756
95	0.3398286609
96	0.3394576014
97	0.3392263135
98	0.3389942426
99	0.3382693994
100	0.3380709607
101	0.3378064811
102	0.3375179778
103	0.3371114143
104	0.336869655
105	0.3367242902
106	0.3362930195
107	0.3360348985
108	0.3355300437
109	0.3354258936
110	0.3354095301
111	0.3350195659
112	0.3347168609
113	0.3341233247
114	0.3340940501
115	0.3340616272
116	0.3340062509
117	0.3338588664
118	0.3337360705
119	0.3337049184
120	0.3336595848
121	0.3334852201
122	0.333389672
123	0.3333815483
124	0.3332179026
125	0.3328619374
126	0.3328180858
127	0.3326904975
128	0.3321952194
129	0.3321813529
130	0.3321431245
131	0.3317193898
132	0.3316753358
133	0.3316651953
134	0.3314208202
135	0.3313601875
136	0.3313238278
137	0.3310492646
138	0.3308852842
139	0.3307958128
140	0.3300837638
141	0.3297911213
142	0.3295165934
143	0.3294065014
144	0.3292889272
145	0.329045334
146	0.328865191
147	0.3284181353
148	0.3283100746
149	0.3282950064
