iter	Passed	Remaining
0	216	32278
1	264	19562
2	309	15161
3	343	12522
4	390	11320
5	443	10654
6	508	10388
7	553	9828
8	601	9421
9	649	9095
10	698	8826
11	745	8578
12	798	8413
13	846	8221
14	889	8009
15	930	7794
16	973	7615
17	1011	7417
18	1046	7214
19	1082	7035
20	1123	6902
21	1180	6866
22	1255	6934
23	1336	7019
24	1383	6915
25	1422	6783
26	1463	6666
27	1507	6568
28	1553	6480
29	1656	6624
30	1703	6538
31	1742	6426
32	1787	6337
33	1825	6229
34	1864	6124
35	1896	6004
36	1933	5905
37	1971	5810
38	2013	5729
39	2050	5637
40	2107	5603
41	2148	5525
42	2190	5451
43	2237	5389
44	2284	5329
45	2329	5265
46	2380	5216
47	2421	5145
48	2461	5073
49	2504	5009
50	2552	4955
51	2594	4890
52	2655	4859
53	2697	4795
54	2744	4741
55	2789	4681
56	2829	4616
57	2873	4557
58	2919	4503
59	2963	4444
60	3003	4382
61	3044	4321
62	3083	4257
63	3126	4200
64	3181	4160
65	3219	4097
66	3260	4039
67	3302	3982
68	3344	3926
69	3389	3873
70	3435	3822
71	3474	3764
72	3508	3701
73	3552	3648
74	3594	3594
75	3637	3541
76	3677	3486
77	3716	3430
78	3753	3373
79	3796	3321
80	3836	3268
81	3875	3213
82	3916	3161
83	3956	3109
84	3996	3056
85	4039	3005
86	4078	2953
87	4120	2902
88	4159	2850
89	4198	2798
90	4237	2747
91	4273	2694
92	4312	2642
93	4354	2594
94	4397	2545
95	4440	2497
96	4483	2449
97	4526	2401
98	4569	2353
99	4609	2304
100	4652	2256
101	4694	2209
102	4737	2161
103	4777	2113
104	4831	2070
105	4880	2025
106	4921	1977
107	4964	1930
108	5008	1883
109	5051	1836
110	5096	1790
111	5140	1744
112	5180	1696
113	5222	1649
114	5263	1601
115	5300	1553
116	5337	1505
117	5382	1459
118	5425	1413
119	5463	1365
120	5506	1319
121	5546	1273
122	5590	1227
123	5615	1177
124	5657	1131
125	5699	1085
126	5739	1039
127	5780	993
128	5820	947
129	5860	901
130	5900	855
131	5946	810
132	5991	765
133	6032	720
134	6074	674
135	6119	629
136	6160	584
137	6199	539
138	6239	493
139	6285	448
140	6325	403
141	6366	358
142	6408	313
143	6466	269
144	6521	224
145	6591	180
146	6643	135
147	6721	90
148	6762	45
149	6800	0
